part name,symbol,size (imp),max current,unit price,units per build,units in stock,order total,Manufacturer ID,source url,datasheet,datasheet2,,,
80 pin header,PORT_IN1,,,$1.35,1,1,$1.35,DF40C-80DP-0.4V(51),http://www.digikey.com/product-detail/en/DF40C-80DP-0.4V(51)/H11632CT-ND/1969511,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,Total Base Cost,$9.24
80 pin receptacle (3.5mm),PORT_OUT1,,0.3A a pin,$2.42,1,1,$2.42,DF40HC(3.5)-80DS-0.4V(51),http://www.digikey.com/product-detail/en/DF40HC(3.5)-80DS-0.4V(51)/H11997CT-ND/2880228,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,,
AND/OR gate,PORT_ANDOR1,,,$0.25,1,2,$0.25,SN74LVC1G0832DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G0832DCKR/296-18754-1-ND/863884,,http://www.ti.com/lit/ds/symlink/sn74lvc1g0832.pdf,,,
multifunction gate,"PORT_XOR1, PORT_INV1",,,$0.14,2,6,$0.28,SN74LVC1G58DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G58DCKR/296-15577-1-ND/571153,,http://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf,,,
64kbit eeprom,PORT_IC1,udfn,,$0.61,1,2,$0.61,AT24CS64-MAHM-T,http://www.digikey.com/product-detail/en/AT24CS64-MAHM-T/AT24CS64-MAHM-TCT-ND/4292118,N,http://www.atmel.com/images/atmel-8870-seeprom-at24cs64-datasheet.pdf,,,
R 10k,"PORT_R1, R3",603,,$0.01,2,979,$0.02,RC0603FR-0710KL,http://www.digikey.com/product-detail/en/RC0603FR-0710KL/311-10.0KHRCT-ND/729827,MF-RES-0603-10K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,,
C 0.1uF,PORT_C1,603,,$0.02,1,400,$0.02,C0603C104K4RACTU,http://www.digikey.com/product-detail/en/C0603C104K4RACTU/399-1096-1-ND/411371,MF-CAP-0603-0.1uF,http://www.kemet.com/docfinder?Partnumber=C0603C104K4RACTU,,,
R 1k,"R1, R2",603,,$0.01,2,993,$0.02,RC0603FR-071KL,http://www.digikey.com/product-detail/en/RC0603FR-071KL/311-1.00KHRCT-ND/729790,MF-RES-0603-1K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,,
red led,D1,,,$0.19,1,71,$0.19,LTST-C190KRKT,http://www.digikey.com/product-detail/en/LTST-C190KRKT/160-1436-1-ND/386816,MF-LED-0603-RED,http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/S_110_LTST-C190KRKT.pdf,,,
green led,D2,,,$0.19,1,83,$0.19,LTST-C190KGKT,http://www.digikey.com/product-detail/en/LTST-C190KGKT/160-1435-1-ND/386814,Y,http://optoelectronics.liteon.com/upload/download/DS22-2000-074/S_110_LTST-C190KGKT.pdf,,,
3.3v regulator,U1,SOT23-5,0.3A,$0.49,1,8,$0.49,TLV70233DBVR,http://www.digikey.com/product-detail/en/TLV70233DBVR/296-32415-1-ND/3505572,MF-REG-SOT235-3.3V-300mA,http://www.ti.com/lit/ds/symlink/tlv702.pdf,,,
autoeject microsd,U2,,,$2.72,1,1,$2.72,DM3AT-SF-PEJM5,http://www.digikey.com/product-detail/en/DM3AT-SF-PEJM5/HR1964CT-ND/2533566,N,http://www.hirose.co.jp/cataloge_hp/e60900232.pdf,,,
C 10uF X5R,C1,1206,,$0.24,1,80,$0.24,C3216X5R1C106M160AA,http://www.digikey.com/product-detail/en/C3216X5R1C106M160AA/445-1426-1-ND/569092,MF-CAP-1206-10uF,http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf,,,
C 1uF X7R,C2,603,,$0.03,1,20,$0.03,TMK107B7105KA-T,http://www.digikey.com/product-detail/en/TMK107B7105KA-T/587-2984-1-ND/2714177,MF-CAP-0603-1uF,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=TMK107B7105KA-T&fileName=TMK107B7105KA-T_SS&mode=specSheetDownload,,,
~3.5mm Spacer,Off Board,,,$0.08,5,81,$0.42,908-140,http://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkey908-140,N,http://www.bivar.com/Portals/0/Products/d.ashx?f=/Portals/0/products/9XX-XXX.pdf,,,